timestamp,vehicle_id,frame_id,det_idx,x,y,z,yaw,vx,vy,length,width,height,score,label
0.000000,astuff,0,0,-2.018957,135.125181,-0.815871,-1.581643,0.000000,-0.000000,4.229592,1.889337,1.617027,0.392253,car
0.000000,astuff,0,1,-13.248694,182.574813,-2.087284,-0.474664,0.000000,-0.000000,4.389157,1.868485,1.485778,0.326787,car
0.000000,astuff,0,2,-1.199758,124.602496,-0.858440,-3.182913,0.000000,-0.000000,5.595060,2.380026,2.562886,0.247546,car
0.000000,astuff,0,3,-9.429378,126.952141,-0.836724,-1.660492,0.000000,-0.000000,4.469964,1.953017,1.656884,0.226364,car
0.000000,astuff,0,4,-3.075420,164.260326,-0.106917,-4.695544,0.000000,-0.000000,4.565926,2.032470,1.834515,0.197991,car
0.000000,astuff,0,5,-0.271141,136.246077,-0.777284,-0.049412,0.000000,-0.000000,4.718319,1.987541,1.746005,0.146957,car
0.000000,astuff,0,6,-96.653114,162.947843,5.378341,-1.323444,0.000774,-0.000097,4.498456,1.981558,1.791899,0.144498,car
0.000000,astuff,0,7,-47.909300,288.327399,-2.818080,0.232846,0.000000,-0.000000,4.526355,2.004304,1.721760,0.131278,car
0.000000,astuff,0,8,-73.256798,191.040830,3.626353,-1.556949,0.000000,-0.000000,4.584756,1.986026,1.756811,0.128902,car
0.000000,astuff,0,9,-71.192675,186.799186,3.189258,-3.251337,0.000000,-0.000000,4.486566,1.944094,1.724931,0.118212,car
0.000000,astuff,0,10,-44.662241,262.868254,-2.414484,-2.009895,0.000000,-0.000000,4.522572,1.958281,1.719469,0.114142,car
0.000000,astuff,0,11,8.913640,293.367472,-2.232811,-1.921858,0.000000,-0.000000,4.803573,2.027633,1.857655,0.111996,car
0.000000,astuff,0,12,-19.663374,141.011178,-1.481193,-1.937975,-3.961304,-7.642101,4.588429,1.987087,1.709696,0.107597,car
0.000000,astuff,0,13,-42.805227,293.321608,-3.702372,-3.333849,0.000000,-0.000000,4.453317,1.974491,1.732417,0.107008,car
0.000000,astuff,0,14,1.257234,124.726481,-0.823678,-0.005538,0.000000,-0.000000,5.289375,2.144809,2.119766,0.106855,car
0.000000,astuff,0,15,3.209499,227.639214,-1.504626,-1.636695,0.001369,-0.012567,8.598654,2.852504,3.854812,0.846494,truck
0.000000,astuff,0,16,-3.161558,165.431816,-0.427936,1.420805,-0.000000,0.000000,3.098095,2.183992,2.191069,0.331336,construction_vehicle
0.000000,astuff,0,17,-24.121122,293.067752,-5.776760,1.420896,-0.000000,0.000000,5.531804,3.005519,2.602616,0.283581,construction_vehicle
0.000000,astuff,0,18,-60.697425,182.957948,2.547790,0.305188,-0.000000,0.000000,6.049277,2.927219,3.448113,0.275583,construction_vehicle
0.000000,astuff,0,19,-56.318140,140.354396,3.658435,-0.319825,-0.000000,0.000000,4.058194,2.146589,2.724243,0.261005,construction_vehicle
0.000000,astuff,0,20,-1.061462,124.561337,-1.022188,-2.667707,-0.000000,0.000000,6.223175,2.652917,2.801323,0.218636,truck
0.000000,astuff,0,21,-38.351456,241.852381,-0.242366,-4.397524,-0.000000,0.000000,2.499469,1.569741,1.859202,0.165415,construction_vehicle
0.000000,astuff,0,22,-59.908074,177.479353,3.493983,-3.822173,-0.000000,0.000000,11.111736,3.310644,4.074654,0.147492,truck
0.000000,astuff,0,23,-45.313332,232.211770,-1.489509,-0.018630,-0.000000,0.000000,9.542943,3.445848,4.077046,0.144191,construction_vehicle
