timestamp,vehicle_id,frame_id,ass_id,obj_id,x,y,z,yaw,length,width,height,label
0.100000,astuff,1,3,1,-13.261955,167.069645,-3.221836,-3.136200,4.664600,2.158006,1.700521,car
0.100000,astuff,1,-1,2,-0.970376,159.496325,-3.423470,-0.256407,3.601915,1.829498,1.839080,car
0.100000,astuff,1,7,3,-16.901417,188.340384,-2.844223,-3.293280,4.566103,1.830426,1.720108,car
0.100000,astuff,1,20,4,-29.859277,186.162170,-2.686828,-3.188560,5.556171,2.032930,2.482853,truck
0.100000,astuff,1,23,6,-30.111388,180.455542,-2.780742,-3.188560,4.629457,1.917958,1.494364,car
0.100000,astuff,1,-1,7,-35.710082,178.226939,-2.676352,-0.134867,3.660159,1.886483,1.382153,car
0.100000,astuff,1,4,8,-15.724466,145.360159,-4.140606,-3.188560,4.444317,1.803997,1.423664,car
0.100000,astuff,1,-1,9,1.122147,125.233489,-5.018251,-3.188560,4.830051,2.149409,1.756402,car
0.100000,astuff,1,8,10,-27.527482,156.678114,-3.334426,-3.188560,5.809819,2.438540,2.160375,truck
0.100000,astuff,1,-1,11,-33.972542,157.231445,-3.094985,0.005392,4.426734,2.062186,1.777238,car
0.100000,astuff,1,-1,13,-35.768324,151.927014,-2.658450,-3.215831,4.095191,1.941397,1.316677,car
0.100000,astuff,1,-1,14,-46.847933,146.335996,-3.213162,-3.240920,4.024250,1.758164,1.435737,car
0.100000,astuff,1,-1,18,-49.030563,187.109621,-2.445252,-3.188560,4.297003,1.665991,1.729863,car
0.100000,astuff,1,9,20,-28.328487,154.150318,-3.193750,-3.240920,4.245206,1.682174,1.479375,car
0.100000,astuff,1,10,22,-28.636278,151.240115,-3.471752,-3.240920,4.474194,1.763520,1.542777,car
0.100000,astuff,1,-1,25,-55.169534,134.895280,-3.701854,-3.241256,4.286914,1.671752,1.450070,car
0.100000,astuff,1,-1,26,-55.938541,125.266788,-4.066202,-0.021033,4.357366,1.906091,1.591661,car
0.100000,astuff,1,-1,27,-37.882187,120.029608,-4.611153,-0.087286,3.820790,1.538523,1.548331,car
0.200000,astuff,2,3,1,-13.834955,167.166593,-3.106584,-3.125739,4.822929,2.158006,1.700521,car
0.200000,astuff,2,-1,2,-0.507070,159.229763,-3.191648,-0.298306,3.601915,1.829498,1.839080,car
0.200000,astuff,2,7,3,-17.408409,188.301760,-2.805335,-3.282819,4.511899,1.830426,1.774312,car
