timestamp,vehicle_id,frame_id,ass_id,obj_id,x,y,z,yaw,length,width,height,label
0.000000,tesla,0,-1,1,-1601.056264,236.380735,-8.692445,-0.113105,4.348515,1.818236,1.458805,car
0.000000,tesla,0,-1,2,-1588.216391,220.434777,-9.380921,-0.078199,5.767724,2.337514,2.421260,truck
0.000000,tesla,0,-1,3,-1553.255713,217.520410,-11.302821,-0.069818,17.483716,2.891330,3.179485,truck
0.000000,tesla,0,-1,6,-1603.283185,222.543723,-8.540276,-0.104379,4.439804,2.125112,1.322898,car
0.000000,tesla,0,-1,7,-1634.125227,244.549972,-6.448922,-0.234475,4.229387,1.865862,1.422185,car
0.100000,tesla,1,-1,1,-1598.187809,236.015833,-8.742367,-0.034572,4.348515,1.818236,1.458805,car
0.100000,tesla,1,-1,2,-1586.376165,220.336933,-9.199442,-0.078205,5.767724,2.337514,2.421260,truck
0.100000,tesla,1,-1,3,-1551.196722,217.484209,-11.221011,-0.078205,17.483716,2.891330,3.179485,truck
0.100000,tesla,1,-1,6,-1601.177953,222.409189,-8.255379,-0.104385,4.439804,2.125112,1.322898,car
0.100000,tesla,1,-1,7,-1631.218857,244.181596,-6.289462,-0.216920,4.229387,1.865862,1.422185,car
0.200000,tesla,2,-1,1,-1595.094002,235.629527,-8.851640,0.043971,4.348515,1.818236,1.458805,car
0.200000,tesla,2,-1,2,-1584.399490,220.134950,-9.166145,-0.078202,5.767724,2.337514,2.421260,truck
0.200000,tesla,2,-1,3,-1549.174855,217.339448,-11.093146,-0.078202,17.483716,2.891330,3.179485,truck
0.200000,tesla,2,-1,6,-1599.135348,222.262320,-8.305949,-0.104382,4.439804,2.125112,1.322898,car
0.200000,tesla,2,-1,7,-1628.114212,243.955753,-6.119983,-0.199356,4.229387,1.865862,1.422185,car
0.300000,tesla,3,-1,1,-1592.169785,235.369187,-8.791398,-0.051846,4.348515,1.818236,1.458805,car
0.300000,tesla,3,-1,2,-1582.411434,219.971664,-9.262479,-0.078026,5.767724,2.337514,2.421260,truck
0.300000,tesla,3,-1,3,-1547.180429,217.075755,-11.109432,-0.078026,17.483716,2.891330,3.179485,truck
0.300000,tesla,3,-1,6,-1597.082373,222.096318,-8.238058,-0.104206,4.439804,2.125112,1.322898,car
0.300000,tesla,3,-1,7,-1624.931972,243.748384,-6.385245,-0.181619,4.229387,1.865862,1.422185,car
0.400000,tesla,4,-1,1,-1589.159484,235.038146,-8.690275,-0.060572,4.348515,1.818236,1.458805,car
0.400000,tesla,4,-1,2,-1580.415373,219.919040,-9.156561,-0.078026,5.767724,2.337514,2.421260,truck
0.400000,tesla,4,-1,3,-1545.149535,217.057665,-11.054447,-0.078026,17.483716,2.891330,3.179485,truck
0.400000,tesla,4,-1,6,-1595.021233,221.930105,-8.131639,-0.104205,4.439804,2.125112,1.322898,car
