timestamp,vehicle_id,frame_id,x,y,z,yaw,vx,vy,length,width,height
0.000000,astuff,0,137.896056,-1.035207,-0.752626,3.112921,-11.300000,0.132000,5.180000,2.030000,1.770000
0.000000,tesla,0,102.006056,-0.178707,-1.898626,3.105813,-9.400000,-0.034000,4.970000,1.960000,1.440000
0.100000,astuff,1,136.766056,-1.022007,-0.750326,3.112542,-11.300000,0.116000,5.180000,2.030000,1.770000
0.100000,tesla,1,101.066056,-0.182107,-1.890726,3.105987,-9.450000,-0.025500,4.970000,1.960000,1.440000
0.200000,astuff,2,135.636056,-1.012007,-0.746626,3.112353,-11.350000,0.086500,5.180000,2.030000,1.770000
0.200000,tesla,2,100.116056,-0.183807,-1.883026,3.106162,-9.400000,0.037000,4.970000,1.960000,1.440000
0.300000,astuff,3,134.496056,-1.004707,-0.738726,3.112425,-11.350000,0.084000,5.180000,2.030000,1.770000
0.300000,tesla,3,99.186056,-0.174707,-1.878026,3.106336,-9.300000,0.039500,4.970000,1.960000,1.440000
0.400000,astuff,4,133.366056,-0.995207,-0.741826,3.112843,-11.350000,0.111000,5.180000,2.030000,1.770000
0.400000,tesla,4,98.256056,-0.175907,-1.872426,3.106162,-9.250000,0.030000,4.970000,1.960000,1.440000
0.500000,astuff,5,132.226056,-0.982507,-0.741126,3.113259,-11.350000,0.085000,5.180000,2.030000,1.770000
0.500000,tesla,5,97.336056,-0.168707,-1.866226,3.106336,-9.200000,0.031500,4.970000,1.960000,1.440000
0.600000,astuff,6,131.096056,-0.978207,-0.729126,3.113354,-11.300000,0.064000,5.180000,2.030000,1.770000
0.600000,tesla,6,96.416056,-0.169607,-1.863326,3.106511,-9.200000,0.042000,4.970000,1.960000,1.440000
0.700000,astuff,7,129.966056,-0.969707,-0.723126,3.113669,-11.300000,0.095000,5.180000,2.030000,1.770000
0.700000,tesla,7,95.496056,-0.160307,-1.858926,3.106686,-9.150000,0.085500,4.970000,1.960000,1.440000
0.800000,astuff,8,128.836056,-0.959207,-0.719126,3.114128,-11.300000,0.079000,5.180000,2.030000,1.770000
0.800000,tesla,8,94.586056,-0.152507,-1.857326,3.106860,-9.050000,0.018500,4.970000,1.960000,1.440000
0.900000,astuff,9,127.706056,-0.953907,-0.714026,3.114587,-11.250000,0.089000,5.180000,2.030000,1.770000
0.900000,tesla,9,93.686056,-0.156607,-1.854626,3.107034,-9.050000,0.021000,4.970000,1.960000,1.440000
1.000000,astuff,10,126.586056,-0.941407,-0.709026,3.114945,-11.200000,0.083000,5.180000,2.030000,1.770000
1.000000,tesla,10,92.776056,-0.148307,-1.850826,3.107208,-9.000000,0.032000,4.970000,1.960000,1.440000
1.100000,astuff,11,125.466056,-0.937307,-0.699026,3.115103,-11.150000,0.040500,5.180000,2.030000,1.770000
1.100000,tesla,11,91.886056,-0.150207,-1.848926,3.107209,-8.950000,0.026000,4.970000,1.960000,1.440000
1.200000,astuff,12,124.356056,-0.933307,-0.692426,3.115202,-11.150000,0.035500,5.180000,2.030000,1.770000
1.200000,tesla,12,90.986056,-0.143107,-1.844826,3.107383,-8.950000,0.019500,4.970000,1.960000,1.440000
1.300000,astuff,13,123.236056,-0.930207,-0.685026,3.115546,-11.100000,0.047000,5.180000,2.030000,1.770000
1.300000,tesla,13,90.096056,-0.146307,-1.841026,3.107383,-8.900000,0.024000,4.970000,1.960000,1.440000
1.400000,astuff,14,122.136056,-0.923907,-0.679226,3.115849,-11.000000,0.047500,5.180000,2.030000,1.770000
1.400000,tesla,14,89.206056,-0.138307,-1.838826,3.107731,-8.850000,0.029000,4.970000,1.960000,1.440000
1.500000,astuff,15,121.036056,-0.920707,-0.664126,3.116159,-11.000000,0.030500,5.180000,2.030000,1.770000
1.500000,tesla,15,88.326056,-0.140507,-1.837326,3.107906,-8.800000,0.024500,4.970000,1.960000,1.440000
1.600000,astuff,16,119.936056,-0.917807,-0.661526,3.116212,-10.950000,0.051000,5.180000,2.030000,1.770000
1.600000,tesla,16,87.446056,-0.133407,-1.833126,3.108255,-8.750000,0.018500,4.970000,1.960000,1.440000
1.700000,astuff,17,118.846056,-0.910507,-0.655326,3.116520,-10.850000,0.065500,5.180000,2.030000,1.770000
1.700000,tesla,17,86.576056,-0.136807,-1.828326,3.108255,-8.750000,0.025000,4.970000,1.960000,1.440000
